constraint,layer,scheme,corpus,n_rollouts_used,n_rollouts,n_rollouts_dropped,n_defined,auroc_raw,auroc,sign,null_global_mean,null_global_p95,p_global,null_task_mean,null_task_p95,p_task,degenerate_flag
emb_temp,29,B,success_ever,300,300,0,46800,0.440332,0.559668,-,0.519534,0.548907,0.020979,0.518032,0.545407,0.011988,False
emb_temp,29,rollout_max,success_ever,300,300,0,300,0.321347,0.678653,-,0.526503,0.563235,0.000999,0.532157,0.572755,0.000999,False
emb_temp,29,rollout_mean,success_ever,300,300,0,300,0.415969,0.584031,-,0.526572,0.567308,0.012987,0.524313,0.558882,0.006993,False
emb_temp,30,A,success_ever,300,300,0,155700,0.418504,0.581496,-,0.510877,0.526121,0.000999,0.51576,0.533806,0.000999,False
emb_temp,30,B,success_ever,300,300,0,46800,0.441115,0.558885,-,0.519608,0.548701,0.024975,0.518167,0.54557,0.011988,False
emb_temp,30,rollout_max,success_ever,300,300,0,300,0.327303,0.672697,-,0.526592,0.565949,0.000999,0.533103,0.576875,0.000999,False
emb_temp,30,rollout_mean,success_ever,300,300,0,300,0.416193,0.583807,-,0.526572,0.566945,0.011988,0.524313,0.558701,0.007992,False
emb_temp,31,A,success_ever,300,300,0,155700,0.418989,0.581011,-,0.510946,0.526507,0.000999,0.515867,0.534468,0.000999,False
emb_temp,31,B,success_ever,300,300,0,46800,0.442764,0.557236,-,0.519731,0.549281,0.02997,0.518368,0.545281,0.012987,False
emb_temp,31,rollout_max,success_ever,300,300,0,300,0.340245,0.659755,-,0.526536,0.564916,0.000999,0.529022,0.569309,0.000999,False
emb_temp,31,rollout_mean,success_ever,300,300,0,300,0.418745,0.581255,-,0.526584,0.566504,0.015984,0.524411,0.559321,0.012987,False
grip_flip,-1,A,success_ever,300,300,0,155700,0.502436,0.502436,+,0.502011,0.504747,0.330669,0.50199,0.504735,0.33966,False
grip_flip,-1,B,success_ever,300,300,0,46800,0.497173,0.502827,-,0.504068,0.509834,0.592408,0.503633,0.509073,0.53047,False
grip_flip,-1,rollout_max,success_ever,300,300,0,300,0.453159,0.546841,-,0.522496,0.553916,0.117882,0.519554,0.547199,0.086913,False
grip_flip,-1,rollout_mean,success_ever,300,300,0,300,0.454995,0.545005,-,0.52645,0.56277,0.186813,0.522926,0.559043,0.116883,False
xl_adj,0,A,success_ever,300,300,0,156000,0.51089,0.51089,+,0.5108,0.526484,0.427572,0.525733,0.539876,0.948052,False
xl_adj,0,B,success_ever,300,300,0,46800,0.522197,0.522197,+,0.517235,0.543691,0.301698,0.5383,0.56769,0.81019,False
xl_adj,0,rollout_max,success_ever,300,300,0,300,0.41476,0.58524,-,0.526461,0.56411,0.00999,0.532077,0.577314,0.032967,False
xl_adj,0,rollout_mean,success_ever,300,300,0,300,0.525503,0.525503,+,0.526398,0.566672,0.417582,0.564615,0.60809,0.922078,False
xl_adj,1,A,success_ever,300,300,0,156000,0.446563,0.553437,-,0.512177,0.529597,0.000999,0.510729,0.526423,0.000999,False
xl_adj,1,B,success_ever,300,300,0,46800,0.478804,0.521196,-,0.519395,0.547478,0.371628,0.534071,0.568786,0.708292,False
xl_adj,1,rollout_max,success_ever,300,300,0,300,0.391384,0.608616,-,0.526289,0.56733,0.001998,0.530348,0.571629,0.002997,False
xl_adj,1,rollout_mean,success_ever,300,300,0,300,0.464869,0.535131,-,0.526143,0.563681,0.293706,0.54327,0.590108,0.595405,False
xl_adj,2,A,success_ever,300,300,0,156000,0.455157,0.544843,-,0.511334,0.529132,0.004995,0.510846,0.525599,0.000999,False
